Designator,Val,Package,Mid X,Mid Y,Rotation, Layer
"C1","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.456600,-51.689000,90.000000,bottom
"C2","100n","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.024300,-51.399400,90.000000,bottom
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.034700,-44.780200,90.000000,bottom
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.282600,-44.792900,90.000000,bottom
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.190400,-48.704500,270.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.228800,-55.651400,270.000000,bottom
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.284900,-64.152800,180.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.263200,-62.052200,180.000000,bottom
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.983400,-58.521600,90.000000,bottom
"R5","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.142900,-29.984700,270.000000,bottom
"R6","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.846000,-45.478700,180.000000,bottom
"R7","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.402000,-36.824900,90.000000,bottom
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.013700,-33.901400,0.000000,bottom
"R9","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.755100,-33.901400,180.000000,bottom
"R10","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.395400,-31.831300,180.000000,bottom
"R11","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.029900,-28.323100,180.000000,bottom
"R12","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.427400,-44.488100,270.000000,bottom
"R13","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.797700,-37.716500,0.000000,bottom
"R14","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.713700,-63.286600,270.000000,bottom
"R15","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.558700,-33.474700,0.000000,bottom
"R16","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.943300,-58.658800,0.000000,bottom
"R17","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.700200,-51.412100,90.000000,bottom
"R18","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",31.234400,-47.007800,270.000000,bottom
"R19","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",27.983200,-35.892700,180.000000,bottom
"R20","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.432500,-40.622200,270.000000,bottom
"R21","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.280600,-41.920200,180.000000,bottom
"U2","PCF8575TS","SSOP-24_5.3x8.2mm_P0.65mm",39.116000,-52.368000,90.000000,bottom
"U3","L9110S","SOP-8_3.9x4.9mm_P1.27mm",29.819600,-30.137100,180.000000,bottom
"U4","L9110S","SOP-8_3.9x4.9mm_P1.27mm",45.770800,-29.679900,0.000000,bottom
"U5","L9110S","SOP-8_3.9x4.9mm_P1.27mm",45.189100,-42.583100,90.000000,bottom
"U6","L9110S","SOP-8_3.9x4.9mm_P1.27mm",33.832800,-61.506100,90.000000,bottom
"U7","L9110S","SOP-8_3.9x4.9mm_P1.27mm",28.397200,-61.506100,270.000000,bottom
"U8","L9110S","SOP-8_3.9x4.9mm_P1.27mm",42.120800,-35.961300,180.000000,bottom
"U9","L9110S","SOP-8_3.9x4.9mm_P1.27mm",34.041100,-37.752000,0.000000,bottom
